Car Name,Brand,Model,Color,Mileage_KM,Location,Posted Date,Price_EGP
Kia K3 2013,Kia,K3,White,75000,ashmoun,6/1/2025,612569
Kia Sorento 2023Verified User,Kia,Sorento,White,26000,cairo,6/1/2025,669481
Kia Sephia 1999,Kia,Sephia,Silver,200000,el qanater el khayreya,6/1/2025,248393
Kia Sephia 1999,Kia,Sephia,Bronze,168000,nasr city,6/1/2025,226298
Kia Cerato 2016,Kia,Cerato,Gray,125000,faiyum,6/1/2025,635562
Kia Cerato 2017,Kia,Cerato,Black,114000,zagazig,6/1/2025,628350
Kia Pride 2009,Kia,Pride,Red,210000,zamalek,6/1/2025,554775
Kia Rio 2014,Kia,Rio,Silver,174000,mohandessin,6/1/2025,642933
Kia Sportage 2021,Kia,Sportage,White,90000,port said,5/31/2025,400801
Kia Cerato Koup 2011,Kia,Cerato Koup,Red,250000,obour city,5/31/2025,450781
Kia Ceed 2017Verified User,Kia,Ceed,Red,225000,hurghada,5/31/2025,359174
Kia Cerato 2017,Kia,Cerato,Petroleum,53500,giza,5/31/2025,423505
Kia Cerato 2008,Kia,Cerato,Black,280000,pyramids gardens,5/31/2025,212811
Kia Cerato 2017,Kia,Cerato,Dark blue,100000,el minya,5/31/2025,603026
Kia Sportage 2020,Kia,Sportage,White,90000,mokattam,5/31/2025,416115
Kia Cerato 2013,Kia,Cerato,Gray,350000,el haram,5/31/2025,350424
Kia Cerato 2011,Kia,Cerato,Black,90000,sheikh zayed city,5/31/2025,393667
Kia Soul 2020,Kia,Soul,Dark grey,74000,el mahalla,5/31/2025,602074
Kia Rio 2013,Kia,Rio,Blue,93000,heliopolis,5/31/2025,608878
Kia Rio 2003,Kia,Rio,Black,177000,heliopolis,5/31/2025,376073
Kia Cerato 2016,Kia,Cerato,White,182000,giza,5/31/2025,232404
Kia Sephia 1999,Kia,Sephia,Gold,200000,cairo,5/31/2025,454784
Kia Sportage 2013,Kia,Sportage,Black,177000,6-Oct,5/31/2025,611995
Kia Picanto 2013,Kia,Picanto,Bronze,100000,tanta,5/31/2025,557237
Kia K3 2014,Kia,K3,Black,200000,bilbeis,5/31/2025,595486
Kia Carens 2015,Kia,Carens,Silver,135000,el haram,5/31/2025,584674
Kia Pride 2002,Kia,Pride,Silver,223000,cairo,5/31/2025,593820
Kia Sportage 2023Verified User,Kia,Sportage,Gray,39000,pyramids gardens,5/31/2025,662118
Kia Picanto 2011,Kia,Picanto,Silver,80000,cairo,5/31/2025,246880
Kia Carens 2011,Kia,Carens,Beige,186000,zagazig,5/31/2025,380298
Kia Sportage 2024,Kia,Sportage,White,28000,touhk,5/30/2025,604731
Kia Sephia 1995,Kia,Sephia,Other,300000,heliopolis,5/30/2025,205938
Kia Carens 2013,Kia,Carens,Beige,116000,mansoura,5/30/2025,392846
Kia Sportage 2016,Kia,Sportage,Black,142000,cairo,5/30/2025,222565
Kia Sportage 2016,Kia,Sportage,Silver,145000,alexandria,5/30/2025,201508
Kia Cerato 2018,Kia,Cerato,Dark blue,150000,maadi,5/30/2025,417581
Kia K3 2016,Kia,K3,Silver,129000,tagamo3 - new cairo,5/30/2025,338336
Kia Rio 2013,Kia,Rio,Dark grey,215000,cairo,5/30/2025,656314
Kia Rio 2015,Kia,Rio,Brown,150000,mohandessin,5/30/2025,416017
Kia Soul 2010,Kia,Soul,Black,133000,monufia,5/30/2025,582720
Kia Cerato 2018,Kia,Cerato,Red,100000,nasr city,5/30/2025,247089
Kia Picanto 2014,Kia,Picanto,Bronze,150000,el minya,5/30/2025,436018
Kia Cerato 2013,Kia,Cerato,Red,195000,luxor,5/30/2025,326492
Kia Rio 2014,Kia,Rio,Red,200000,6-Oct,5/30/2025,670946
Kia Rio 2013,Kia,Rio,Silver,100000,6-Oct,5/30/2025,398819
Kia Sephia 1994,Kia,Sephia,Red,,el minya,5/30/2025,376468
Kia Carnival 2012,Kia,Carnival,Black,286000,cairo,5/30/2025,409787
Kia Pride 1997,Kia,Pride,Red,300000,borg el arab,5/30/2025,623225
Kia Ceed 2016,Kia,Ceed,Red,195000,mohandessin,5/29/2025,542969
Kia Picanto 2012,Kia,Picanto,Silver,215000,6-Oct,5/29/2025,332498
Kia Cerato 2010,Kia,Cerato,Silver,222000,cairo,5/29/2025,380099
Kia K8 2025,Kia,K8,Bronze,1800,hybrid,5/29/2025,367026
Kia Carnival 2024,Kia,Carnival,Dark grey,,hybrid,5/29/2025,623853
Kia Sportage 2021,Kia,Sportage,Silver,105000,obour city,5/29/2025,259929
Kia Sportage 2022,Kia,Sportage,Blue,20000,el haram,5/29/2025,533947
Kia Cerato 2015,Kia,Cerato,Red,155000,port said,5/29/2025,212330
Kia Sephia 2000,Kia,Sephia,Blue,210000,obour city,5/29/2025,443567
Kia Picanto 2012,Kia,Picanto,Black,97000,alexandria,5/29/2025,468040
Kia Soul 2010,Kia,Soul,Black,143000,port said,5/29/2025,368425
Kia K3 2013,Kia,K3,White,94000,monufia,5/29/2025,442497
Kia K3 2016,Kia,K3,Red,245000,ismailia,5/28/2025,655476
Kia Spectra 2004,Kia,Spectra,Silver,250000,al shorouk,5/28/2025,533362
Kia Forte 2009,Kia,Forte,Silver,116000,alexandria,5/28/2025,410262
Kia Cerato 2016,Kia,Cerato,Dark grey,154000,pyramids gardens,5/28/2025,226549
Kia Spectra 2000Verified User,Kia,Spectra,Bronze,200000,ismailia,5/28/2025,378663
Kia Cerato 2006,Kia,Cerato,Blue,123000,alexandria,5/28/2025,646892
Kia Saipa 2014,Kia,Saipa,Silver,196000,badr,5/28/2025,456419
Kia Sephia 2000,Kia,Sephia,Silver,200000,mansoura,5/28/2025,518495
Kia Cerato 2017,Kia,Cerato,Petroleum,131000,cairo,5/28/2025,351994
Kia Sportage 2022,Kia,Sportage,Dark green,32000,tagamo3 - new cairo,5/28/2025,480887
Kia Sephia 1999,Kia,Sephia,Red,320000,giza,5/28/2025,645044
Kia K3 2013,Kia,K3,White,162000,mansoura,5/28/2025,424410
Kia Sportage 2013,Kia,Sportage,Dark grey,270000,6-Oct,5/28/2025,661524
Kia Sportage 2022,Kia,Sportage,Blue,22000,tagamo3 - new cairo,5/28/2025,634266
Kia K3 2016,Kia,K3,Dark blue,211000,tagamo3 - new cairo,5/28/2025,565935
Kia Forte 2020,Kia,Forte,Red,73000,cairo,5/28/2025,601068
Kia Cerato 2013,Kia,Cerato,Silver,171000,kafr el zayat,5/27/2025,245424
Kia Carens 2013,Kia,Carens,Silver,140000,monufia,5/27/2025,674541
Kia Carens 2012,Kia,Carens,Black,169000,nasr city,5/27/2025,358444
Kia Soul 2009,Kia,Soul,Other,137000,giza,5/27/2025,457672
Kia Forte 2010,Kia,Forte,Gray,135000,sharqia,5/27/2025,546728
Kia Forte 2010,Kia,Forte,Black,121000,sharqia,5/27/2025,601951
Kia Soul 2010,Kia,Soul,Dark grey,193000,monufia,5/27/2025,256303
Kia Picanto 2010Verified User,Kia,Picanto,Black,165000,helwan,5/27/2025,551770
Kia K3 2015,Kia,K3,Silver,220000,suez,5/27/2025,656495
Kia Spectra 2003,Kia,Spectra,Black,130000,alexandria,5/27/2025,633250
Kia Cerato 2006,Kia,Cerato,Silver,89000,zagazig,5/27/2025,679838
Kia Sephia 2005,Kia,Sephia,Silver,190000,el haram,5/27/2025,565897
Kia Cerato 2009,Kia,Cerato,Silver,380000,cairo,5/27/2025,699432
Kia Xceed 2022,Kia,Xceed,Gold,76000,al shorouk,5/26/2025,228140
Kia Soul 2015Verified User,Kia,Soul,White,118000,cairo,5/27/2025,580043
Kia Rio 2000,Kia,Rio,Gold,110000,6-Oct,5/27/2025,678850
Kia Rio 2019,Kia,Rio,Dark grey,81000,tagamo3 - new cairo,5/26/2025,668718
Kia Sportage 2023,Kia,Sportage,White,19000,zagazig,5/26/2025,477766
Kia Sephia 2001,Kia,Sephia,Gold,232000,cairo,5/26/2025,656909
Kia Cerato 2016,Kia,Cerato,Silver,240000,dakahlia,5/26/2025,341679
Kia Cerato 2016,Kia,Cerato,Red,86000,dakahlia,5/26/2025,681233
Kia Rio 2001,Kia,Rio,Gold,,obour city,5/26/2025,409261
Kia Soul 2011,Kia,Soul,Black,,dokki,5/26/2025,250978
Kia Pride 1997,Kia,Pride,Green,220000,tagamo3 - new cairo,5/26/2025,257323
Kia Picanto 2008,Kia,Picanto,Silver,220000,damietta,5/26/2025,514620
Kia Carens 2015,Kia,Carens,Gray,130000,el haram,5/26/2025,283353
Kia Picanto 2012,Kia,Picanto,Red,130000,dokki,5/26/2025,699763
Kia Forte 2010,Kia,Forte,Black,235000,tanta,5/26/2025,254355
Kia Rio 2011,Kia,Rio,White,230000,qalyub,5/26/2025,621417
Kia Carens 2015,Kia,Carens,White,260000,damietta,5/26/2025,564977
Kia Sportage 2022,Kia,Sportage,Black,84000,maadi,5/26/2025,523860
Kia Shuma 1999,Kia,Shuma,Red,137000,cairo,5/26/2025,624383
Kia Sportage 2018,Kia,Sportage,Silver,120000,tanta,5/26/2025,328727
Kia Carens 2013,Kia,Carens,Black,103600,nasr city,5/26/2025,486096
Kia Sportage 2017,Kia,Sportage,Petroleum,60000,mokattam,5/25/2025,206151
Kia Picanto 2011,Kia,Picanto,Black,120000,cairo,5/25/2025,423935
Kia Cerato 2011,Kia,Cerato,Red,200000,cairo,5/25/2025,243769
Kia Pride 1997,Kia,Pride,Dark grey,,alexandria,5/25/2025,324945
Kia Picanto 2015,Kia,Picanto,Dark red,112000,ismailia,5/25/2025,416618
Kia Pride 1996,Kia,Pride,Silver,200000,helwan,5/25/2025,513652
Kia Spectra 2002,Kia,Spectra,Silver,210000,alexandria,5/25/2025,631969
Kia Carens 2011Verified User,Kia,Carens,Champagne,167000,heliopolis,5/25/2025,647774
Kia Cerato 2015,Kia,Cerato,White,109000,dakahlia,5/25/2025,620140
Kia Rio 2016,Kia,Rio,Black,97000,port said,5/25/2025,485107
Kia Carens 2012,Kia,Carens,Black,200000,alexandria,5/25/2025,356734
Kia Sportage 2016,Kia,Sportage,Black,140000,alexandria,5/25/2025,500073
Kia K3 2014,Kia,K3,White,188000,alexandria,5/25/2025,401662
Kia Cerato 2012,Kia,Cerato,Mocha,118000,monufia,5/25/2025,502275
Kia Rio 2002,Kia,Rio,Gold,,asyut,5/25/2025,220040
Kia Cerato 2017,Kia,Cerato,Black,57000,alexandria,5/25/2025,390053
Kia Cerato 2004,Kia,Cerato,Silver,188350,dakahlia,5/24/2025,330348
Kia Sportage 2014,Kia,Sportage,Gray,211800,el haram,5/24/2025,632026
Kia Cerato 2009,Kia,Cerato,White,230000,sohag,5/24/2025,572402
Kia Carens 2011,Kia,Carens,Mocha,160000,hadayek october,5/24/2025,559725
Kia Rio 2015,Kia,Rio,Other,172000,cairo,5/24/2025,607908
Kia Rio 2016,Kia,Rio,Silver,79000,heliopolis,5/24/2025,497164
Kia Cerato 2011,Kia,Cerato,Silver,220000,giza,5/24/2025,522574
Kia Carens 2012,Kia,Carens,Gray,170000,nasr city,5/24/2025,352774
Kia Sportage 2015,Kia,Sportage,Dark blue,160000,sharqia,5/24/2025,234929
Kia Sorento 2024,Kia,Sorento,White,12500,zagazig,5/24/2025,369061
Kia Picanto 2011,Kia,Picanto,Silver,136000,dokki,5/24/2025,428611
Kia Sportage 2015,Kia,Sportage,Black,62850,alexandria,5/24/2025,498571
Kia K3 2014,Kia,K3,Black,175000,banha,5/24/2025,287099
Kia Carens 2010,Kia,Carens,Other,196000,el minya,5/24/2025,395320
Kia Cerato 2016,Kia,Cerato,Silver,164000,el haram,5/24/2025,219029
Kia Carens 2015,Kia,Carens,Bronze,147000,mohandessin,5/24/2025,201910
Kia Sportage 2023,Kia,Sportage,White,12000,banha,5/23/2025,504310
Kia Rio 2015,Kia,Rio,Other,141000,tagamo3 - new cairo,5/23/2025,450418
Kia Carens 2013,Kia,Carens,Black,260000,tagamo3 - new cairo,5/23/2025,295489
Kia Cerato 2017,Kia,Cerato,Red,59000,tanta,5/23/2025,693061
Kia Sportage 2016,Kia,Sportage,Bronze,120000,mansoura,5/23/2025,663245
Kia Carens 2011,Kia,Carens,Black,179000,nasr city,5/23/2025,516849
Kia Grand Cerato 2019,Kia,Grand Cerato,White,88000,mokattam,5/23/2025,419666
Kia Cerato 2011,Kia,Cerato,Black,199000,kerdasa,5/23/2025,296402
Kia Sportage 2013,Kia,Sportage,Mocha,180000,asyut,5/23/2025,263392
Kia Cerato 2016,Kia,Cerato,Dark red,200000,giza,5/23/2025,323186
Kia Picanto 2004,Kia,Picanto,Blue,156000,el haram,5/23/2025,274746
Kia Grand Cerato 2021,Kia,Grand Cerato,Cyan,112000,tanta,5/23/2025,383473
Kia Rio 2016,Kia,Rio,Brown,200000,cairo,5/23/2025,380591
Kia Cerato 2012,Kia,Cerato,Black,180000,nasr city,5/23/2025,266866
Kia Picanto 2016,Kia,Picanto,Beige,63900,zagazig,5/23/2025,592520
Kia Rio 2013,Kia,Rio,Silver,269000,qalyubia,5/23/2025,678463
Kia Sportage 2022,Kia,Sportage,White,42000,6-Oct,5/23/2025,640050
Kia Cerato 2015,Kia,Cerato,Brown,130000,port said,5/23/2025,651033
Kia Carens 2011,Kia,Carens,Silver,500000,ismailia,5/23/2025,443365
Kia Sportage 2019,Kia,Sportage,White,200000,sharm el-sheikh,5/23/2025,234201
Kia Cerato 2006,Kia,Cerato,Black,430000,al shorouk,5/23/2025,570256
Kia Shuma 1999,Kia,Shuma,Black,150000,heliopolis,5/23/2025,674630
Kia Sportage 2023,Kia,Sportage,Dark grey,14000,hybrid,5/21/2025,658861
Kia Sportage 2017,Kia,Sportage,White,150000,kom hamada,5/22/2025,685431
Kia Carens 2011,Kia,Carens,Black,188000,shibin el qanater,5/22/2025,336411
Kia Sportage 2022Verified User,Kia,Sportage,Gray,70000,pyramids gardens,5/22/2025,338121
Kia Cerato 2015,Kia,Cerato,Mocha,180000,nasr city,5/22/2025,309286
Kia Forte 2010,Kia,Forte,Silver,308000,giza,5/22/2025,391552
Kia Cerato Koup 2011,Kia,Cerato Koup,Black,156000,6-Oct,5/22/2025,541242
Kia Sportage 2019,Kia,Sportage,Blue,180000,ismailia,5/22/2025,627416
Kia Cerato 2018,Kia,Cerato,Blue,149000,tagamo3 - new cairo,5/22/2025,402694
Kia Carens 2014,Kia,Carens,Silver,130000,monufia,5/22/2025,283357
Kia Carens 2010,Kia,Carens,Silver,82000,asyut,5/22/2025,636069
Kia Carens 2023Verified User,Kia,Carens,Dark blue,100000,faqous,5/22/2025,424105
Kia Sportage 2017,Kia,Sportage,Bronze,129000,tagamo3 - new cairo,5/22/2025,525547
Kia Rio 2003,Kia,Rio,Gold,140000,suez,5/22/2025,476934
Kia Sportage 2017Verified User,Kia,Sportage,Black,195000,pyramids gardens,4/24/2025,512537
Kia Picanto 2011,Kia,Picanto,Black,127000,mansoura,5/22/2025,647582
Kia Rio 2003,Kia,Rio,Blue,300000,badr city,5/22/2025,283114
Kia K3 2013,Kia,K3,Silver,300000,el bagour,5/22/2025,630083
Kia Sportage 2012,Kia,Sportage,Silver,230000,cairo,5/22/2025,291479
Kia Forte 2009,Kia,Forte,Cyan,141000,madinaty,5/22/2025,503776
Kia Cerato 2017,Kia,Cerato,Black,135000,obour city,5/22/2025,667791
Kia Cerato 2018,Kia,Cerato,White,79000,6-Oct,5/21/2025,660875
Kia Sportage 2012,Kia,Sportage,Silver,117000,6-Oct,5/21/2025,399637
Kia Grand Cerato 2019,Kia,Grand Cerato,Gray,125000,nasr city,5/21/2025,593230
Kia Carens 2014,Kia,Carens,Silver,145000,tagamo3 - new cairo,5/21/2025,690504
Kia Spectra 2001,Kia,Spectra,Silver,350000,nasr city,5/21/2025,309146
Kia Cerato 2018,Kia,Cerato,Gray,120000,shobra,5/21/2025,322587
Kia Picanto 2011,Kia,Picanto,Red,85000,shobra,5/21/2025,650230
Kia Soul 2015,Kia,Soul,Black,100000,damietta,5/21/2025,312395
Kia Carnival 2024,Kia,Carnival,Black,6000,hybrid,5/21/2025,295815
Kia Cerato 2010Verified User,Kia,Cerato,Gray,175000,mit ghamr,5/21/2025,666683
Kia Rio 2013,Kia,Rio,Red,180000,tagamo3 - new cairo,5/21/2025,254575
Kia Rio 2011,Kia,Rio,Red,280000,maadi,5/21/2025,626523
Kia Cerato 2010,Kia,Cerato,White,260000,maadi,5/21/2025,383732
Kia Forte 2010,Kia,Forte,Black,146000,minya al qamh,5/21/2025,387877
Kia Ceed 2017,Kia,Ceed,Red,70000,tagamo3 - new cairo,5/21/2025,555195
Kia Picanto 2017,Kia,Picanto,Silver,100000,nasr city,5/21/2025,376910
Kia Cerato 2010,Kia,Cerato,Silver,270000,obour city,5/21/2025,608913
Kia Xceed 2022,Kia,Xceed,Black,57000,mohandessin,5/21/2025,295389
Kia Rio 2015,Kia,Rio,Red,218000,cairo,5/20/2025,479641
Kia Carens 2015,Kia,Carens,Black,74000,cairo,5/21/2025,373572
Kia Sportage 2020,Kia,Sportage,Silver,140000,beheira,5/20/2025,360750
Kia Picanto 2008,Kia,Picanto,Silver,103000,faiyum,5/20/2025,571848
Kia Cerato 2016,Kia,Cerato,Dark blue,230000,dokki,5/20/2025,314665
Kia Sportage 2020,Kia,Sportage,Dark blue,187000,nasr city,5/20/2025,577542
Kia Sportage 2025,Kia,Sportage,Silver,,cairo,5/20/2025,245266
Kia Cerato 2016,Kia,Cerato,Silver,210000,ismailia,5/20/2025,618743
Kia Carnival 1999,Kia,Carnival,White,200000,6-Oct,5/20/2025,692676
Kia Cerato 2018,Kia,Cerato,Petroleum,80000,port said,5/20/2025,666696
Kia Cerato 2010,Kia,Cerato,White,164000,suez,5/20/2025,251142
Kia Cerato 2008,Kia,Cerato,Black,80000,obour city,5/20/2025,590619
Kia Rio 2002,Kia,Rio,Silver,400000,tagamo3 - new cairo,5/20/2025,623784
Kia Sportage 2013,Kia,Sportage,Silver,175000,zagazig,5/20/2025,326381
Kia Cerato 2011,Kia,Cerato,Black,120000,el salam city,5/20/2025,696535
Kia Sorento 2023,Kia,Sorento,Gray,40000,6-Oct,5/20/2025,384630
Kia Sportage 2015,Kia,Sportage,Black,235000,helwan,5/20/2025,403715
Kia Carens 2011,Kia,Carens,Gray,170000,cairo,5/20/2025,654384
Kia Cerato 2019,Kia,Cerato,Black,116000,heliopolis,5/20/2025,519223
Kia Rio 2013,Kia,Rio,Silver,210000,cairo,5/20/2025,567302
Kia Sorento 2023,Kia,Sorento,White,40000,hybrid,5/16/2025,626856
Kia Sportage 2022,Kia,Sportage,Dark blue,42000,hybrid,5/19/2025,358930
Kia Picanto 2014,Kia,Picanto,Red,120000,sohag,5/19/2025,285968
Kia Carens 2015,Kia,Carens,Dark grey,165000,6-Oct,5/19/2025,633606
Kia Cerato 2010,Kia,Cerato,Silver,200000,monufia,5/19/2025,444795
Kia K3 2021,Kia,K3,Gray,68000,mohandessin,5/19/2025,581451
Kia Picanto 2012,Kia,Picanto,Silver,100000,beni suef,5/19/2025,324546
Kia Sephia 2000,Kia,Sephia,Gray,140000,asyut,5/19/2025,413961
Kia Rio 2011,Kia,Rio,Black,174000,asyut,5/19/2025,688427
Kia Cerato 2010,Kia,Cerato,Silver,300000,badr city,5/19/2025,696088
Kia Cerato 2012,Kia,Cerato,Black,275000,tagamo3 - new cairo,5/19/2025,577526
Kia Cerato 2017,Kia,Cerato,Silver,52000,tagamo3 - new cairo,5/19/2025,628964
Kia Sorento 2023,Kia,Sorento,White,9000,tagamo3 - new cairo,5/19/2025,224452
Kia Carens 2012,Kia,Carens,Beige,157000,zagazig,5/19/2025,543552
Kia Rio 2013,Kia,Rio,Black,117000,cairo,5/19/2025,327450
Kia K3 2014,Kia,K3,White,89000,suez,5/19/2025,523411
Kia Carens 2010,Kia,Carens,Mocha,230000,tagamo3 - new cairo,5/19/2025,396929
Kia Picanto 2011,Kia,Picanto,Gray,142000,heliopolis,5/19/2025,522348
Kia Grand Cerato 2020,Kia,Grand Cerato,Silver,53000,pyramids gardens,5/19/2025,619887
Kia Sportage 2024,Kia,Sportage,White,5500,hybrid,5/19/2025,699633
Kia Cerato 2016,Kia,Cerato,Red,200000,cairo,5/19/2025,466182
Kia Rio 2017,Kia,Rio,Petroleum,100000,al shorouk,5/19/2025,434653
Kia Sportage 2018,Kia,Sportage,Petroleum,116000,6-Oct,5/18/2025,472974
Kia K3 2019,Kia,K3,White,69000,giza,5/19/2025,531630
Kia Cerato 2018,Kia,Cerato,White,57000,dikirnis,5/18/2025,267653
Kia Soul 2010,Kia,Soul,Mocha,200000,alexandria,5/17/2025,434599
Kia Cerato 2010,Kia,Cerato,Red,270000,ismailia,5/18/2025,508950
Kia Sportage 2022,Kia,Sportage,White,22500,giza,5/18/2025,333500
Kia Sportage 2023,Kia,Sportage,Black,180000,alexandria,5/18/2025,355242
Kia Grand Cerato 2021,Kia,Grand Cerato,Red,99000,sheikh zayed city,5/18/2025,489843
Kia Carens 2015,Kia,Carens,Silver,85000,mansoura,5/18/2025,280385
Kia Carens 2023,Kia,Carens,Red,19000,mansoura,5/18/2025,446072
Kia Cerato 2017,Kia,Cerato,Mocha,200000,cairo,5/18/2025,321922
Kia Sorento 2024,Kia,Sorento,Other,19000,nasr city,5/18/2025,588050
Kia Carens 2013,Kia,Carens,Black,141000,6-Oct,5/13/2025,551303
Kia Sportage 2021,Kia,Sportage,Red,2000,nasr city,5/6/2025,607797
Kia Sportage 2024,Kia,Sportage,Dark grey,38000,nasr city,5/18/2025,477651
Kia Cerato 2013,Kia,Cerato,Black,250000,mohandessin,5/18/2025,508091
Kia Sportage 2016,Kia,Sportage,Mocha,187000,shobra,5/18/2025,665354
Kia Pride 2002,Kia,Pride,Silver,142000,maadi,5/18/2025,680158
Kia Picanto 2010,Kia,Picanto,Silver,300282,ismailia,5/18/2025,450120
Kia K3 2015,Kia,K3,Green,98000,minya al qamh,5/18/2025,484915
Kia Grand Cerato 2019,Kia,Grand Cerato,Dark grey,141000,cairo,5/18/2025,575532
Kia Rio 2013,Kia,Rio,Dark grey,155000,suez,5/18/2025,342836
Kia Picanto 2011,Kia,Picanto,Red,165000,alexandria,5/17/2025,292790
Kia Carens 2010,Kia,Carens,Black,283000,hurghada,5/17/2025,462950
Kia Picanto 2016,Kia,Picanto,Dark grey,67000,sharqia,5/17/2025,656063
Kia Carens 2010,Kia,Carens,White,240000,shobra,5/17/2025,288005
Kia Spectra 2004,Kia,Spectra,Silver,100000,cairo,5/17/2025,563441
Kia Sportage 2023,Kia,Sportage,Green,12000,hybrid,3/25/2025,593150
Kia Spectra 2003,Kia,Spectra,Bronze,2180000,heliopolis,5/17/2025,461712
Kia K3 2015,Kia,K3,Dark grey,230000,port said,5/17/2025,522240
Kia Sportage 2022,Kia,Sportage,Silver,90000,sheikh zayed city,5/17/2025,277006
Kia K3 2016,Kia,K3,White,176000,port said,5/17/2025,272552
